2018-03-21 14:43:05.585 INFO  DefaultFactory Logging to 'C:\Users\maksy\source\repos\NServiceBusTesting\Receiver\bin\Debug\' with level Info
2018-03-21 14:43:06.213 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '19.03.2018'

2018-03-21 14:43:06.325 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-PQG6KUL\maksy' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-PQG6KUL\maksy" /add
2018-03-21 14:43:06.481 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.506 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.534 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.554 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.577 WARN  NServiceBus.QueuePermissions Queue [private$\Receiver.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.590 WARN  NServiceBus.QueuePermissions Queue [private$\Receiver.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.618 WARN  NServiceBus.QueuePermissions Queue [private$\Receiver.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.642 WARN  NServiceBus.QueuePermissions Queue [private$\Receiver.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.669 WARN  NServiceBus.QueuePermissions Queue [private$\Receiver.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.709 WARN  NServiceBus.QueuePermissions Queue [private$\Receiver.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.739 WARN  NServiceBus.QueuePermissions Queue [private$\Receiver] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.762 WARN  NServiceBus.QueuePermissions Queue [private$\Receiver] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.789 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-21 14:43:06.811 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-21 14:43:06.830 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-21 14:43:09.068 INFO  OrderSubmittedHandler Order 031d2a70-32b8-40ce-9965-f85e269b5914 worth 40 submitted
2018-03-21 14:43:09.792 INFO  OrderSubmittedHandler Order afe07b4e-5992-4003-83b7-2188fc68db83 worth 14 submitted
2018-03-21 14:43:10.152 INFO  OrderSubmittedHandler Order b763c664-caaa-419c-bf9f-f80bfcc66ca3 worth 50 submitted
2018-03-21 14:43:14.224 INFO  OrderLifecycleSaga Got timeout
2018-03-21 14:43:15.212 INFO  OrderLifecycleSaga Got timeout
2018-03-21 14:43:15.261 INFO  OrderLifecycleSaga Got timeout
