2018-03-21 14:43:05.322 INFO  DefaultFactory Logging to 'C:\Users\maksy\source\repos\NServiceBusTesting\Sender\bin\Debug\' with level Info
2018-03-21 14:43:06.040 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '19.03.2018'

2018-03-21 14:43:06.171 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-PQG6KUL\maksy' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-PQG6KUL\maksy" /add
2018-03-21 14:43:06.285 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.299 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.319 WARN  NServiceBus.QueuePermissions Queue [private$\Sender.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.347 WARN  NServiceBus.QueuePermissions Queue [private$\Sender.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.396 WARN  NServiceBus.QueuePermissions Queue [private$\Sender.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.412 WARN  NServiceBus.QueuePermissions Queue [private$\Sender.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.439 WARN  NServiceBus.QueuePermissions Queue [private$\Sender.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.455 WARN  NServiceBus.QueuePermissions Queue [private$\Sender.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.486 WARN  NServiceBus.QueuePermissions Queue [private$\Sender] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.512 WARN  NServiceBus.QueuePermissions Queue [private$\Sender] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2018-03-21 14:43:06.559 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-21 14:43:06.580 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-21 14:43:06.602 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-03-21 14:43:08.198 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from Receiver@DESKTOP-PQG6KUL on message type OrderSubmitted, Shared, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
2018-03-21 14:43:09.184 INFO  OrderAcceptedHandler Order 031d2a70-32b8-40ce-9965-f85e269b5914 accepted.
2018-03-21 14:43:09.822 INFO  OrderAcceptedHandler Order afe07b4e-5992-4003-83b7-2188fc68db83 accepted.
2018-03-21 14:43:10.183 INFO  OrderAcceptedHandler Order b763c664-caaa-419c-bf9f-f80bfcc66ca3 accepted.
